dx,dy,dz,dqw,dqx,dqy,dqz
-0.029170824,-0.128802,-0.0045687607,-0.036519557,0.0033516367,0.0064445697,-0.105606295
-0.00022675656,-0.09099303,-0.00091557484,-0.043385893,0.0023859479,0.0005916332,-0.063095234
0.0013541272,-0.08750102,-0.001049262,-0.039348863,0.0021163798,0.0006599624,-0.05024303
0.004407146,-0.08466002,-0.0010994648,-0.033033308,0.0015736136,0.00073772046,-0.037395857
0.010543674,-0.07911767,-0.0010345948,-0.02788416,0.0013549102,0.0007065369,-0.02997576
0.0134543665,-0.0775778,-0.0010456827,-0.02377024,0.0012834447,0.00068140734,-0.025677042
0.010002514,-0.08107079,-0.0011076123,-0.023271937,0.0010353675,0.00069812423,-0.02248393
0.0015257625,-0.08160134,-0.0002616423,-0.001424125,-7.5486314e-05,-0.00016322274,-0.0006809486
0.0011017174,-0.10217859,-0.00035361628,0.0013309782,-8.39424e-05,-0.00012299792,0.0059735337
-0.00013687834,-0.086402185,-0.0002956964,-0.0007197155,-9.157961e-05,-8.4475454e-05,-0.0009112846
-0.00010783877,-0.100009546,-0.00025537907,-0.0010007111,-6.010747e-05,-0.00017586235,-0.00058482203
-0.00061116274,-0.10108168,-0.00024726542,-0.00094232534,-5.7627563e-05,-0.00019017833,-0.0007101054
0.0001905812,-0.096674904,-0.0002645515,-0.0011704167,-5.730996e-05,-0.00016487837,-0.0005786482
0.00014412403,-0.09232747,-0.00028484658,-0.00083337235,-8.556586e-05,-0.00010725173,-0.00064758665
-0.0010107299,-0.0945856,-0.00024161885,-0.00097118935,-6.031939e-05,-0.0001731369,-0.0010489938
0.00029074028,-0.10460013,-0.0002204736,-0.001043781,-5.713271e-05,-0.00026021665,-0.0007800801
-0.00077904295,-0.099594206,-0.00022260674,-0.0010287075,-4.931254e-05,-0.00021896577,-0.0010909605
-0.0006600786,-0.106548764,-0.00027253284,-0.00091360195,-6.194496e-05,-0.00017406973,-0.00033329497
-0.0013259379,-0.10553979,-0.00024190568,-0.00080913457,-5.9637634e-05,-0.00020480646,-0.000768216
-0.0015637595,-0.109491974,-0.0002615798,-0.0007937774,-6.095069e-05,-0.00019291577,-0.0004651791
-0.0010456126,-0.10419254,-0.00021949304,-0.0010410325,-4.4398723e-05,-0.0002409336,-0.0011654032
-0.0007570321,-0.10596609,-0.00023624697,-0.0008033955,-6.4048254e-05,-0.00022111046,-0.00071682665
-0.0025288528,-0.11319699,-0.00027576828,-0.00073226786,-6.891075e-05,-0.00018574444,-0.00049382215
-0.0004746113,-0.107436016,-0.00024390903,-0.0007396855,-6.871475e-05,-0.00021768372,-0.0007172242
-0.0031533982,-0.113173455,-0.00026945624,-0.000648016,-6.441727e-05,-0.00019470406,-0.0005973043
-0.00082856603,-0.10734697,-0.00024123426,-0.0007692146,-6.5230335e-05,-0.00021550416,-0.00071549404
-0.0007897252,-0.1076529,-0.00023703635,-0.00079689955,-6.26076e-05,-0.00022238329,-0.0008370597
-0.000662012,-0.106205754,-0.00023844237,-0.0007616973,-6.616253e-05,-0.00021881681,-0.00062925275
-0.0022559464,-0.11126298,-0.00026375608,-0.00068746577,-6.431985e-05,-0.00019768857,-0.0006084088
-0.0020130463,-0.10745777,-0.0002508281,-0.00077539694,-6.137755e-05,-0.00020123147,-0.00075675047
-0.0023323623,-0.10953021,-0.00025535127,-0.0007015524,-6.2395826e-05,-0.00019751671,-0.0006879071
-0.0008792598,-0.10603751,-0.00023768166,-0.00078352075,-6.446582e-05,-0.0002180772,-0.0006211214
-0.00028133858,-0.10884132,-0.00022766832,-0.00088604074,-5.829102e-05,-0.00024857337,-0.0010894403
-0.001486375,-0.107200906,-0.00025037746,-0.0008025308,-6.242908e-05,-0.0001999261,-0.0006216669
-0.0012382455,-0.104744084,-0.00023980504,-0.00078022305,-6.465542e-05,-0.00021374693,-0.00065682456
-0.0011914074,-0.10552023,-0.00024026798,-0.00078955,-6.634267e-05,-0.00021385825,-0.00075351994
-0.0017188173,-0.100181445,-0.00023084329,-0.00081474206,-5.7843616e-05,-0.00019434757,-0.0010811592
-0.0017223284,-0.10463053,-0.00024032989,-0.0007926825,-6.406353e-05,-0.00020768751,-0.00083979464
